country,theme,level,dataset name,item,title,description
CPV,AB,cod-standard,cod-ab-cpv,dataset,Cabo Verde - Subnational Administrative Boundaries,"""Cabo Verde administrative level 0-2 boundaries (COD-AB) dataset.

NOTE:  Island P-code system is unofficial.

This COD-AB was most recently reviewed for accuracy and necessary changes 6 month(s) ago.  The determination was that:   The COD-AB does not require any update.

Sourced from Second Administrative Level Boundaries (SALB) Project.

Live geoservices are available for this COD-AB.  Please see [COD_External](https://codgis.itos.uga.edu/arcgis/rest/services/COD_External).  (For any earlier versions please see [here](https://codgis.itos.uga.edu/arcgis/rest/services/V00_0), [here](https://codgis.itos.uga.edu/arcgis/rest/services/V1_00), and [here](https://codgis.itos.uga.edu/arcgis/rest/services/V2_00).)  Vetting, configuration, and geoservices provision by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Cabo Verde [COD-PS](https://data.humdata.org/dataset/cod-ps-cpv).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.)
Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 22 feature(s).

Administrative level 2 contains 32 feature(s)."""
CPV,AB,cod-standard,cod-ab-cpv,resource,cpv_admgz_20240611.xlsx,Cabo Verde - administrative level 0-2 and island gazetteer
CPV,AB,cod-standard,cod-ab-cpv,resource,cpv_adm_20240607_AB_SHP.zip,Cabo Verde - administrative level 0-2 and islands boundary shapefiles
CPV,AB,cod-standard,cod-ab-cpv,resource,cpv_adm_20240607_AB_GDB.zip,Cabo Verde - administrative level 0-2 and islands boundary geodatabase
CPV,AB,cod-standard,cod-ab-cpv,resource,cpv_adm_20240607_AB_EMF.zip,Cabo Verde - administrative level 0-2 and island EMF files
FJI,AB,cod-standard,cod-ab-fji,dataset,Fiji - Subnational Administrative Boundaries,"This geodatabase contains Province Boundaries (Admin 3) and Tikina (Admin 4) with population from 2007 Census and projected population for 2010 

30 December 2019 update:
Gazetteer added



"
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_adm.gdb.zip,"Fiji administrative level 0 (country), 1 (division), 2 (province), and 3 (tikina) boundary polygons"
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_adm0_country.zip,Fiji administrative level 0 (country) boundary polygons
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_adm3_tikina.zip,Fiji administrative level 3 (tikina) boundary polygons
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_adm2_province.zip,Fiji administrative level 2 (province) boundary polygons
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_adm1_district.zip,Fiji administrative level 1 (division) boundary polygons
FJI,AB,cod-standard,cod-ab-fji,resource,fji_polbnda_EMF.zip,Fiji administrative level 0-3 EMF files
FJI,AB,cod-standard,cod-ab-fji,resource,fji_adm_gz.xlsx,"Fiji administrative level 0 (country), 1 (division), 2 (province), and 3 (tikina) boundary polygons"
MDG,AB,cod-standard,cod-ab-mdg,dataset,Madagascar - Subnational Administrative Boundaries,"Madagascar administrative level 0 (country), 1 (region), 2 (district), 3 (commune), and 4 (fokontany) boundary and line shapefiles,  geodatabase,  and gazetteer.

These boundary shapefiles are suitable for database or GIS linkage to the [Madagascar - Subnational Population Statistics](https://data.humdata.org/dataset/cod-ps-mdg) population statistics CSV tables.

(A Look Up Table of P-codes and related BNGRC codes has also been provided, should linkages to the BNGRC Admin 1 & 2 codes be required for disaster response purposes.)"
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_gazetteer_20181031.xls,"Madagascar administrative level 0 (country), 1 (region), 2 (district), 3 (commune), and 4 (fokontany) gazetteer"
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_adm_BNGRC_OCHA_20181031_SHP.zip,"Madagascar administrative level 0 (country), 1 (region), 2 (district), 3 (commune), and 4 (fokontany) boundary shapefiles
"
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbnda_adm0_BNGRC_OCHA_20181031.emf,Madagascar administrative level 0 (country) boundary polygon EMF file
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbnda_adm1_BNGRC_OCHA_20181031.emf,Madagascar administrative level 1 (region) boundary polygon EMF file
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbnda_adm2_BNGRC_OCHA_20181031.emf,Madagascar administrative level 2 (district) boundary polygon EMF file
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbnda_adm3_BNGRC_OCHA_20181031.emf,Madagascar administrative level 3 (commune) boundary polygon EMF file
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbnda_adm4_BNGRC_OCHA_20181031.emf,Madagascar administrative level 4 (fokontany) boundary polygon EMF file
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_admbndl_all_BNGRC_OCHA_20181031.zip,"Madagascar administrative level 0 (country), 1 (region), 2 (district), 3 (commune), and 4 (fokontany) boundary and line geodatabase"
MDG,AB,cod-standard,cod-ab-mdg,resource,mdg_cod_metadata_20181031.pdf,Metadata notes updated 2018 10 31
MDG,AB,cod-standard,cod-ab-mdg,resource,BNGRC_codes_LUT_pcodes_2018.xlsx,"Excel table of P-codes and related BNGRC (Disaster Management Agency) codes for Administrative Boundaries level 1-2.  The P-codes are the official codes, however the LUT has been provided should linkages to the BNGRC codes be required during disaster response.
The BNGRC (Madagascar National Disaster Management Agency) is currently using different Region (Admin 1) and District (Admin 2) codes from the P-codes in the COD Administrative Boundary GIS shapefiles. The P-codes were built from the Fokontany (Admin 4) codes in order to meet COD code hierarchy standards. Over time a move should be made to use the official P-codes and lower case names where possible."
TJK,PS,cod-standard,cod-ps-tjk,dataset,Tajikistan - Subnational Population Statistics,Tajikistan administrative level 0-1 sex and age disaggregated 2019 projected population statistics.  See caveat.
TJK,PS,cod-standard,cod-ps-tjk,resource,tjk_admpop_2019.xlsx,Tajikistan administrative level 0-1 sex and age disaggregated 2019 projected population statistics.  See caveats.
TJK,PS,cod-standard,cod-ps-tjk,resource,tjk_admpop_adm1_2019.csv,Tajikistan administrative level 1 sex and age disaggregated 2019 projected population statistics.  See caveats.
TJK,PS,cod-standard,cod-ps-tjk,resource,tjk_admpop_adm0_2019.csv,Tajikistan administrative level 0 sex and age disaggregated 2019 projected population statistics.  See caveats.
TUN,PS,cod-standard,cod-ps-tun,dataset,Tunisia - Subnational Population Statistics,"Tunisia administrative level 0-2 sex and age disaggregated 2020 projected population statistics

These tables are suitable for database or GIS linkage to the [Tunisia - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-tun) administrative level 0-2 layers using the ADM0, ADM1, and ADM2_PCODE fields.


"
TUN,PS,cod-standard,cod-ps-tun,resource,TUN_AdminBoundaries_TabularData.xlsx,Tunisia administrative level 0-4 gazetteer
TUN,PS,cod-standard,cod-ps-tun,resource,tun_admpop_2020.xlsx,Tunisia administrative level 0-2 sex and age disaggregated 2020 projected population statistics
TUN,PS,cod-standard,cod-ps-tun,resource,tun_admpop_adm0_2020.csv,Tunisia administrative level 0 sex and age disaggregated 2020 projected population statistics
TUN,PS,cod-standard,cod-ps-tun,resource,tun_admpop_adm1_2020.csv,Tunisia administrative level 1 sex and age disaggregated 2020 projected population statistics
TUN,PS,cod-standard,cod-ps-tun,resource,tun_admpop_adm2_2020.csv,Tunisia administrative level 2 sex and age disaggregated 2020 projected population statistics
CAF,PS,cod-standard,cod-ps-caf,dataset,Central African Republic - Subnational Population Statistics,"General census 2003 and projected to 2015
REFERENCE YEAR:  2015
See caveats.
2021 data available.  
"
CAF,PS,cod-standard,cod-ps-caf,resource,CAF_AdminBoundaries_TabularData.xlsx,Administrative level 0-4 gazetteer
CAF,PS,cod-standard,cod-ps-caf,resource,car_population_2022,2022 Population by Admin 2
CAF,PS,cod-standard,cod-ps-caf,resource,icasees_cartocensitaire2021_formatocha_public_V2.xlsx,Population by Admin 3
CAF,PS,cod-standard,cod-ps-caf,resource,CAR_DATA_160214_POPULATION.xls,Population by Admin.
CAF,PS,cod-standard,cod-ps-caf,resource,caf_admpop_adm1_2015_v2.csv,Population by Adm1.  (This file can be joined record-per record to the COD-AB Adm1 layer.)
CAF,PS,cod-standard,cod-ps-caf,resource,caf_admpop_adm2_2015_v2.csv,"Population by Adm2.  (This file contains 73 records, whereas the COD-AB Adm2 layer contains 72.)"
CAF,PS,cod-standard,cod-ps-caf,resource,caf_admpop_adm3_2015_v2.csv,"Population by Adm3.  (This file contains 177 records, whereas the COD-AB Adm3 layer contains 175.)"
GRC,AB,cod-standard,cod-ab-grc,dataset,Greece - Subnational Administrative Boundaries,"Administrative Boundary dataset (shapefiles and spreadsheets) for Greece (levels 0,1,2 & Sea Areas)"
GRC,AB,cod-standard,cod-ab-grc,resource,GR_bsm_admn_adm_py_EuroGeoGraphics_2015_pp.zip,"Administrative Boundary Shapefiles for Greece (levels 0,1,2 and Sea Areas)"
GRC,AB,cod-standard,cod-ab-grc,resource,GRC_Adm.xlsx,"Administrative Boundary names and codes for Greece (levels 0,1,2)"
MKD,AB,cod-standard,cod-ab-mkd,dataset,North Macedonia - Subnational Administrative Boundaries,Spreadsheets and Shapefiles of Administrative levels
MKD,AB,cod-standard,cod-ab-mkd,resource,MKD_admn.xls,Spreadsheet of administrative levels 1-4 from EuroGeographics and NTES (Nomenclature of Territorial Units for Statistics - Republic of Macedonia State Statistical Office)
MKD,AB,cod-standard,cod-ab-mkd,resource,MKD_admn_adm_py_EuroGeographics-NTES_pp.zip,Shapefiles of administrative levels 1-4 from EuroGeographics and NTES (Nomenclature of Territorial Units for Statistics - Republic of Macedonia State Statistical Office)
HND,PS,cod-standard,cod-ps-hnd,dataset,Honduras - Subnational Population Statistics,"Proyecciones de Población del Instituto Nacional de Estadística - INE - por edad y sexo según Departamento y Municipio 2020

REFERENCE YEAR:  2022

These tables are suitable for database or GIS linkage to the [Honduras - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-hnd) using the ADM0, ADM1, or ADM2_PCODE fields."
HND,PS,cod-standard,cod-ps-hnd,resource,HND_AdminBoundaries_TabularData.xlsx,Honduras administrative level 0-2 gazetteer
HND,PS,cod-standard,cod-ps-hnd,resource,hnd_admpop_2022.xlsx,Honduras administrative level 0-2 sex and age disaggregated projected 2022 population statistics
HND,PS,cod-standard,cod-ps-hnd,resource,hnd_admpop_adm0_2022.csv,Honduras administrative level 0 sex and age disaggregated projected 2022 population statistics
HND,PS,cod-standard,cod-ps-hnd,resource,hnd_admpop_adm1_2022.csv,Honduras administrative level 1 sex and age disaggregated projected 2022 population statistics
HND,PS,cod-standard,cod-ps-hnd,resource,hnd_admpop_adm2_2022.csv,Honduras administrative level 2 sex and age disaggregated projected 2022 population statistics
BHS,AB,cod-standard,cod-ab-bhs,dataset,Bahamas - Subnational Administrative Boundaries,"These files were extracted from www.gadm.org

Version history:

3 September 2019
Gazetteer added

30 August 2019
Lines shapefile added

30 January 2009
Initial upload
"
BHS,AB,cod-standard,cod-ab-bhs,resource,BHS_adm0_gdams_2009.zip,Bahamas administrative level 0 boundary shapefile
BHS,AB,cod-standard,cod-ab-bhs,resource,BHS_adm1_GDAMS_2009.zip,Bahamas administrative level 1 boundary shapefile
BHS,AB,cod-standard,cod-ab-bhs,resource,bhs_gazetteer.xls,Bahamas district gazetteer
BHS,AB,cod-standard,cod-ab-bhs,resource,bhs_adm_EMF.zip,Bahamas administrative level 0-1 boundary EMF files
MMR,PS,cod-standard,cod-ps-mmr,dataset,Myanmar - Subnational Population Statistics,"Myanmar administrative level 0-3 sex and age disaggregated projected 2022 population statistics 

REFERENCE YEAR:  2022


These population statistics are suitable for database or GIS linkage to the [Myanmar - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-mmr) or the [Myanamar - Subnational Edge-matched Administrative Boundaries](https://data.humdata.org/dataset/cod-em-mmr) administrative level 0-3 layers using the ADM0, ADM1, ADM2, and ADM3_PCODE fields.



The COD-AB and COD-EM layers manages both 15-feature and 18-feature administrative level 1 systems.  These COD-PS tables conform to the 18-feature system.

See caveats for further information.

"
MMR,PS,cod-standard,cod-ps-mmr,resource,mmr_admpop_2022.xlsx,Myanmar administrative level 0-3 sex and age disaggregated projected 2022 population statistics 
MMR,PS,cod-standard,cod-ps-mmr,resource,mmr_admpop_adm0_2022.csv,Myanmar administrative level 0 sex and age disaggregated projected 2022 population statistics 
MMR,PS,cod-standard,cod-ps-mmr,resource,mmr_admpop_adm1_2022.csv,Myanmar administrative level 0 sex and age disaggregated projected 2022 population statistics 
MMR,PS,cod-standard,cod-ps-mmr,resource,mmr_admpop_adm2_2022.csv,Myanmar administrative level 2 sex and age disaggregated projected 2022 population statistics 
MMR,PS,cod-standard,cod-ps-mmr,resource,mmr_admpop_adm3_2022.csv,Myanmar administrative level 3 sex and age disaggregated projected 2022 population statistics 
TUR,AB,cod-standard,cod-ab-tur,dataset,Türkiye - Subnational Administrative Boundaries,"Türkiye - Administrative Boundaries (Levels 0, 1, 2
Included Admin 1 and 2 central points."
TUR,AB,cod-standard,cod-ab-tur,resource,Turkey OD_WGS84.gdb.zip,Geodatabase includes all.
TUR,AB,cod-standard,cod-ab-tur,resource,turkey_administrativelevels0_1_2.zip,Includes boundaries only.
TUR,AB,cod-standard,cod-ab-tur,resource,Common operational Dataset.xlsx,
TUR,AB,cod-standard,cod-ab-tur,resource,turkey_centeralpoints_1_2.zip,Includes province and district center locations.
TUR,AB,cod-standard,cod-ab-tur,resource,tur_polbnda_adm3_Southeast.zip,Unofficial shapefiles for polygon data for administrative level 3 only for the Southeast Region of Türkiye.
TUR,AB,cod-standard,cod-ab-tur,resource,COD_External/TUR_EN (MapServer),"This map service contains OCHA Common Operational Datasets for Turkey: Administrative Boundaries. The service is available as ESRI Map, ESRI Feature, WMS, and KML Services. See the OCHA COD/FOD terms of use for access and use constraints.

Methodology: TUR_Pcode_Area_Sqkm for reporting administrative unit area in square kilometers by P-code to achieve area normalizations without having to perform on the fly projections and retain map service properties. The areas are based on the projected dataset using the Asia North Albers Equal Area Conic projection."
TUR,AB,cod-standard,cod-ab-tur,resource,COD_External/TUR_pcode (FeatureServer),"This service is intended as a labelling layer for PCODES from OCHA's Common Operational Datasets for Turkey. As a map service it is intended to be used in conjunction with the basemap located at https://codgis.itos.uga.edu/arcgis/rest/services/COD_External/TUR_EN/MapServer. The service also provides feature access to Administrative Boundaries geometry and taxonomy. The service is available as ESRI Map, WMS, ESRI Feature, WFS and KML Services"
TUR,AB,cod-standard,cod-ab-tur,resource,COD_External/TUR_pcode (MapServer),"This service is intended as a labelling layer for PCODES from OCHA's Common Operational Datasets for Turkey. As a map service it is intended to be used in conjunction with the basemap located at https://codgis.itos.uga.edu/arcgis/rest/services/COD_External/TUR_EN/MapServer. The service also provides feature access to Administrative Boundaries geometry and taxonomy. The service is available as ESRI Map, WMS, ESRI Feature, WFS and KML Services"
TUR,AB,cod-standard,cod-ab-tur,resource,COD_External/TUR_TR_v2 (MapServer),"This map service contains OCHA Common Operational Datasets for Turkey, in Turkish: Administrative Boundaries. The service is available as ESRI Map, ESRI Feature, WMS, and KML Services. See the OCHA COD/FOD terms of use for access and use constraints."
TUR,AB,cod-standard,cod-ab-tur,resource,COD_External/TUR_TR (MapServer),"This map service contains OCHA Common Operational Datasets for Turkey, in Turkish: Administrative Boundaries. The service is available as ESRI Map, ESRI Feature, WMS, and KML Services. See the OCHA COD/FOD terms of use for access and use constraints.Methodology: TUR_Pcode_Area_Sqkm for reporting administrative unit area in square kilometers by P-code to achieve area normalizations without having to perform on the fly projections and retain map service properties. The areas are based on the projected dataset using the Asia North Albers Equal Area Conic projection."
KEN,PS,cod-standard,cod-ps-ken,dataset,Kenya - Subnational Population Statistics,"Kenya administrative level 0-2 projected 2019 sex and age disaggregated population statistics

REFERENCE YEAR:  2019

The administrative level 0 and 1 tables are suitable for database or GIS linkage to the [Kenya - Subnational Administrative Boundaries](https://data.humdata.org/dataset/cod-ab-ken)."
KEN,PS,cod-standard,cod-ps-ken,resource,KEN_AdminBoundaries_TabularData.xlsx,Kenya administrative level 0-2 gazetteer (conforming to the COD-AB)
KEN,PS,cod-standard,cod-ps-ken,resource,ken_admpop_2019.xlsx,Kenya administrative level 0-2 2019 sex and age disaggregated population statistics
KEN,PS,cod-standard,cod-ps-ken,resource,ken_admpop_adm0_2019.csv,Kenya administrative level 0 2019 sex and age disaggregated population statistics
KEN,PS,cod-standard,cod-ps-ken,resource,ken_admpop_adm1_2019.csv,Kenya administrative level 1 2019 sex and age disaggregated population statistics
BHR,AB,cod-standard,cod-ab-bhr,dataset,Bahrain - Subnational Administrative Boundaries,"Bahrain - Administrative Boundaries (levels 0-1), Populated Places
"
BHR,AB,cod-standard,cod-ab-bhr,resource,Admin 0,"Administrative boundaries for levels 0, with Arabic Names, English Name, Data source is FAO GUAL DATA 2008_WFP. "
BHR,AB,cod-standard,cod-ab-bhr,resource,Admin 1,"Administrative boundaries for levels 1, with Arabic Names, English Name, Data source is FAO GUAL DATA 2008_WFP. "
BHR,AB,cod-standard,cod-ab-bhr,resource,Capitals,"Capital - Point. World Cities represents the locations of major cities of the world, Data source ESRI, Global Discovery  2007 "
BHR,AB,cod-standard,cod-ab-bhr,resource,Populated Places,"World Places shows the populated places in country- Point, Data Source ESRI Global Discovery 2007 "
BHR,AB,cod-standard,cod-ab-bhr,resource,bhr_adm_EMF.zip,Bahrain administrative level 0-2 boundary EMF files
MAR,AB,cod-standard,cod-ab-mar,dataset,Morocco - Subnational Administrative Boundaries,"SEPTEMBER 29 2023 UPDATE
The shapefile, geodatabase, and EMF layers sourced from Le Haut Commissariat au Plan data (HCP) have been vetted and configured by ITOS.   Topological errors have been fixed and the lines layer is now available.  The live geoservices are currently those provided before the September 2023 earthquake, but will be updated shortly.

NOTE ABOUT P-CODES.  The _Haut Commissariat au Plan data (HCP)_ source data contained place codes that did not reference administrative level 1 (regions).  To maintain consistency with the previous COD-AB - as well as the live geoservices that are currently in place - the new layers maintain the P-coding at administrative levels 1 and 2 and then append the HCP place coding for administrative levels 3 and 4.



SEPTEMBER 15 2023 UPDATE
The administrative level 0-4 gazetteer spreadsheet and geodatabase is now available.
The large number of topology errors prohibits creation of a lines layer until they can be corrected.


SEPTEMBER 14 2023 UPDATE
This dataset now contains a preliminary set of administrative level 0, 1, 2, 3, and 4 shapefiles recently derived from Le Haut Commissariat au Plan data (HCP).  Administrative level 0, 1, and 2 P-codes match those in the other layers - and live geoservices - contained in this dataset.  Administrative level 3 and 4 P-codes are derived from the HCP layers.

These new layers are more detailed than the previous layers but contain topological errors.

The gazetteer spreadsheet, lines file, and geodatabase will be prepared shortly.

Live services remain unaltered.

****

Sourced from GAUL. P-codes harmonization by UNHCR FICSS towards enhanced integration between different systems and humanitarian agencies. P-coded reformulated by UNICEF.

Vetting and live service provision by [Information Technology Outreach Services (ITOS)](https://cviog.uga.edu/information-technology/) with funding from USAID."
MAR,AB,cod-standard,cod-ab-mar,resource,MAR_AdminBoundaries_TabularData.xlsx,Morocco administrative level 0-4 gazetteer
MAR,AB,cod-standard,cod-ab-mar,resource,mar_admbnda_hcp_20230925_SHP.zip,INTERIM UPDATE Morocco administrative level 0-4 boundary shapefiles derived from Le Haut Commissariat au Plan administrative level 4 boundaries
MAR,AB,cod-standard,cod-ab-mar,resource,mar_admbnda_hcp_20230925_GDB.gdb.zip,INTERIM UPDATE Morocco administrative level 0-4 boundary geodatabase derived from Le Haut Commissariat au Plan administrative level 4 boundaries
MAR,AB,cod-standard,cod-ab-mar,resource,mar_admbnda_hcp_20230925_EMF.zip,Morocco administrative level 0-4 boundary EMF files derived from Le Haut Commissariat au Plan administrative level 4 boundaries
MAR,AB,cod-standard,cod-ab-mar,resource,COD_External/MAR_AR (MapServer),"This map service contains OCHA Common Operational Datasets for Morocco in Arabic: Administrative Boundaries. The service is available as ESRI Map, ESRI Feature, WMS, and KML Services. See the OCHA COD/FOD terms of use for access and use constraints."
MAR,AB,cod-standard,cod-ab-mar,resource,COD_External/MAR_EN (MapServer),"This map service contains OCHA Common Operational Datasets for Morocco: Administrative Boundaries. The service is available as ESRI Map, ESRI Feature, WMS, and KML Services. See the OCHA COD/FOD terms of use for access and use constraints."
MAR,AB,cod-standard,cod-ab-mar,resource,COD_External/MAR_pcode (FeatureServer),"This service is intended as a labelling layer for PCODES from OCHA's Common Operational Datasets for Morocco. As a map service it is intended to be used in conjunction with the basemap located at https://codgis.itos.uga.edu/arcgis/rest/services/COD_External/MAR_EN/MapServer. The service also provides feature access to Administrative Boundaries geometry and taxonomy. The service is available as ESRI Map, WMS, ESRI Feature, WFS and KML Services"
MAR,AB,cod-standard,cod-ab-mar,resource,COD_External/MAR_pcode (MapServer),"This service is intended as a labelling layer for PCODES from OCHA's Common Operational Datasets for Morocco. As a map service it is intended to be used in conjunction with the basemap located at https://codgis.itos.uga.edu/arcgis/rest/services/COD_External/MAR_EN/MapServer. The service also provides feature access to Administrative Boundaries geometry and taxonomy. The service is available as ESRI Map, WMS, ESRI Feature, WFS and KML Services"
TJK,AB,cod-standard,cod-ab-tjk,dataset,Tajikistan -  Administrative Boundaries (taxonomy),"An overview of the administrative divisions for Tajikistan, including their associated names and unique identifiers (according to the OKATO classification system).

The overview includes administrative level 1 (Viloyat + independent city) and administrative level 2 (Nohiya + independent cities). Administrative level 3 (Jamoat) has not been included in this overview, as these have recently changed (geographical boundaries, names and OKATO codes) and it has not been possible to verify the most recent overview.

OCHA's Regional Office for the Caucasus and Central Asia is maintaining a dataset with the geographical boundaries of administrative levels 1 and 2 for preparedness purposes, but is not allowed to make it public. In case of a major humanitarian emergency, this geographical dataset will be shared with humanitarian agencies."
TJK,AB,cod-standard,cod-ab-tjk,resource,Tajikistan administrative division_v2.1.xlsx,Taxonomy of administrative levels 0-2
TJK,AB,cod-standard,cod-ab-tjk,resource,TJK_Administrative_division_and_Pcoding_system_2017_05_17.pdf,Infographic explaining the administrative division and P-coding system in Tajikistan
TJK,AB,cod-standard,cod-ab-tjk,resource,ОКАТО_from_Statistics_January_2017.xls,Raw data on OKATO (P-code) classification system - which includes populated places
SOM,PS,cod-standard,cod-ps-som,dataset,Somalia - Subnational Population Statistics,"The United Nations Population Fund (UNFPA) partnered with donors and UN agencies and took up the lead role to support the Somali authorities in undertaking the Population Estimation Survey (PESS) for Somalia in October 2013- March 2014.

REFERENCE YEAR:  2014

UNFPA investigated replacement or projection of this dataset in 2021.  Only ADM0 (national) data was available.  No better alternative is currently available.

PESS gathered basic critical information on the Somalis living in urban, rural and nomadic areas (interviewed at water points during the peak of the long, dry season), and in settlements for internally displaced persons. One standard questionnaire was used in selected enumeration areas or pre-identified areas. Data was collected in three main phases: cartographic field mapping, household listing in the sampled areas, and the interviewing of households using the standard questionnaire.

PESS report by UNFPA had only the population estimate at regional level (Admin level 1). With the demand to get this data disaggregated to district level to enhance assessment and in particular assessments of people in food insecure by FAO-FSNAU, the district data was interpolated using FSNAU livelihood information embedded in the 2005 UNDP district level population data
"
SOM,PS,cod-standard,cod-ps-som,resource,som_pplp_adm1_v2.csv,"Somalia Admin Level 1 (Region) population statistics including 2005 Rural, Urban, and total populations (source UNDP) and 2014 Rural, Urban, IDP, and Total populations (source UNFPA)."
SOM,PS,cod-standard,cod-ps-som,resource,som_pplp_adm2_v2.csv,"Somalia Admin Level 2 (District) population statistics including 2005 Rural, Urban, and total populations (source UNDP) and 2014 Rural, Urban, IDP, and Total populations (source UNFPA)."
SOM,PS,cod-standard,cod-ps-som,resource,Somalia population sex and age disaggregated 2021,
SOM,PS,cod-standard,cod-ps-som,resource,Somalia population gender disaggregated 2019,
SOM,PS,cod-standard,cod-ps-som,resource,somalia-population-statistics 2014,
SOM,PS,cod-standard,cod-ps-som,resource,som_pplp_adm0_v2.csv,"Somalia Admin Level 0 (Country) population statistics including 2005 Rural, Urban, and total populations (source UNDP) and 2014 Rural, Urban, IDP, and Total populations (source UNFPA)."
