ISO,COD-AB URL,COD-AB level,COD-AB contributor,COD-AB description,COD-AB ADM1 units,COD-AB ADM2 units,COD-AB ADM3 units,COD-AB ADM4 units
DOM,https://data.humdata.org/dataset/cod-ab-dom,cod-enhanced,OCHA Field Information Services Section (FISS),"Dominican Republic administrative level 0-4 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  This COD-AB was updated by OCHA FIS in March 2025 without the most complete quality control processes.  The accompanying COD-EM has not been similarly updated.  The COD-PS extends only to ADM2

This COD-AB was most recently reviewed for accuracy and necessary changes in February 2025.  The COD-AB does not require any update.

Sourced from OCHA Field Information Services Section (FISS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Dominican Republic [COD-PS](https://data.humdata.org/dataset/cod-ps-dom).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-dom).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is 'region'.

Administrative level 2 contains 32 feature(s).  The normal administrative level 2 feature type is 'province or national district (distrito nacional)'.

Administrative level 3 contains 158 feature(s).  The normal administrative level 3 feature type is 'municipio'.

Administrative level 4 contains 383 feature(s).  The normal administrative level 4 feature type is 'dm(?)'.

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on March 04, 2025.",10,32,158,393
ECU,https://data.humdata.org/dataset/cod-ab-ecu,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),"Ecuador administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2017

NOTE:  ADM4 feature names are not yet availalble.  (Currently ADM4_PCODE is copied into ADM4_ES as a proxy.)  No lines layer is yet availalbe.  The live geoservices do not reflect the new ADM4 level.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from INEC - Instituto Nacional de Estadística y Censos

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Ecuador [COD-PS](https://data.humdata.org/dataset/cod-ps-ecu).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 26 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 223 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 1,044 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",26,223,1044,
EGY,https://data.humdata.org/dataset/cod-ab-egy,cod-enhanced,OCHA Middle East and North Africa (ROMENA),"Egypt administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about one feature name.  Age disaggregation unavailable.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Central Agency for Public Mobilization and Statistics (CAPMAS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Egypt [COD-PS](https://data.humdata.org/dataset/cod-ps-egy).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 27 feature(s).  The normal administrative level 1 feature type is """"Governorate"""".

Administrative level 2 contains 365 feature(s).  The normal administrative level 2 feature type is """"Region"""".

Administrative level 3 contains 5,716 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",27,365,5716,
SLV,https://data.humdata.org/dataset/cod-ab-slv,cod-enhanced,OCHA Field Information Services Section (FISS),"El Salvador administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  ABOUT THIS UPDATE. This administrative boundary structure was changed in August 2024 to insert a new administrative level between the previous administrative level 1 and level 2 boundaries. The previous level 2 boundaries have become level 3 boundaries. The general administrative structure is now 'departamento' (administrative level 1), 'municiplo' (level 2), and 'distrito' (level 3).
The former caveat about uninhabited administrative features being unrepresented in the COD-PS no longer applies.  The COD-PS now contains 'zero population' records for those features.

This COD-AB was most recently reviewed for accuracy and necessary changes in August 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the El Salvador [COD-PS](https://data.humdata.org/dataset/cod-ps-slv).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-slv).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 14 feature(s).  The normal administrative level 1 feature type is """"departamento"""".

Administrative level 2 contains 48 feature(s).  The normal administrative level 2 feature type is """"municipio"""".

Administrative level 3 contains 266 feature(s).  The normal administrative level 3 feature type is """"distrito"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",14,48,266,
GNQ,https://data.humdata.org/dataset/cod-ab-gnq,cod-enhanced,OCHA West and Central Africa (ROWCA),"Equatorial Guinea administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-gnq).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 7 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 32 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",7,32,,
ERI,https://data.humdata.org/dataset/cod-ab-eri,cod-enhanced,OCHA Regional Office for Southern and Eastern Africa (ROSEA),"Eritrea administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from OCHA ROSEA

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Eritrea [COD-PS](https://data.humdata.org/dataset/cod-ps-eri).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 6 feature(s).  The normal administrative level 1 feature type is """"Zoba"""".

Administrative level 2 contains 58 feature(s).  The normal administrative level 2 feature type is """"Sub-Zoba"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",6,58,,
ETH,https://data.humdata.org/dataset/cod-ab-eth,cod-enhanced,OCHA Ethiopia,"Ethiopia administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2021

NOTE:  See COD-AB caveats about missing features.  See COD-PS caveats about data rounding.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB requires improvements.

Sourced from CSA (Central Statistics Agency) + Regional Bureau of Finance and Economic Development (BoFED)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Ethiopia [COD-PS](https://data.humdata.org/dataset/cod-ps-eth).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 13 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 92 feature(s).  The normal administrative level 2 feature type is """"Zone"""".

Administrative level 3 contains 1,082 feature(s).  The normal administrative level 3 feature type is """"Woreda"""".
These administrative boundaries became out of date in:  2023

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",13,92,1082,
FJI,https://data.humdata.org/dataset/cod-ab-fji,cod-standard,OCHA Field Information Services Section (FISS),"Fiji administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2017

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from POPGIS, Fiji Islands Bureau of Statistics, Pacific Catastrophe Risk Assessment and Financing Initiative (PCRAFI)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Fiji [COD-PS](https://data.humdata.org/dataset/cod-ps-fji).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 4 feature(s).  The normal administrative level 1 feature type is """"Province"""".

Administrative level 2 contains 15 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 86 feature(s).  The normal administrative level 3 feature type is """"Tikinia"""".

Recommended cartographic projection:  Oceania

This metadata was last updated on January 9, 2025.",4,15,86,
GUF,https://data.humdata.org/dataset/cod-ab-guf,cod-standard,OCHA Field Information Services Section (FISS),"French Guiana administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from Institut national de l’information géographique et forestière (IGN)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the French Guiana [COD-PS](https://data.humdata.org/dataset/cod-ps-guf).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 2 feature(s).  The normal administrative level 1 feature type is """"Arrondissement"""".

Administrative level 2 contains 22 feature(s).  The normal administrative level 2 feature type is """"Commune"""".

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",2,22,,
GAB,https://data.humdata.org/dataset/cod-ab-gab,cod-standard,OCHA West and Central Africa (ROWCA),"Gabon administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about Libreville data.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Second Administrative Level Boundaries (SALB)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Gabon [COD-PS](https://data.humdata.org/dataset/cod-ps-gab).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 48 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",9,48,,
GMB,https://data.humdata.org/dataset/cod-ab-gmb,cod-enhanced,OCHA Field Information Services Section (FISS),"Gambia administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Gambia National Disaster Management Agency (NDMA)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Gambia [COD-PS](https://data.humdata.org/dataset/cod-ps-gmb).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-gmb).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 49 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 115 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",8,49,115,
GEO,https://data.humdata.org/dataset/cod-ab-geo,cod-enhanced,OCHA Middle East and North Africa (ROMENA),"Georgia administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2024.  The COD-AB requires improvements.

Sourced from National Statistics Office of Georgia [Administraciuli erTeulebi]

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Georgia [COD-PS](https://data.humdata.org/dataset/cod-ps-geo).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 13 feature(s).  The normal administrative level 1 feature type is """"Region, city, or autonomous republic"""".

Administrative level 2 contains 70 feature(s).  The normal administrative level 2 feature type is """"District or self-governing city"""".

Administrative level 3 contains 1,155 feature(s).  The normal administrative level 3 feature type is """"Community, etc."""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",13,70,1155,
GHA,https://data.humdata.org/dataset/cod-ab-gha,cod-enhanced,OCHA West and Central Africa (ROWCA),"Ghana administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about metropolitan feature consolidation

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Ghana Statistical Services (GSS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Ghana [COD-PS](https://data.humdata.org/dataset/cod-ps-gha).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-gha).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 16 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 260 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",16,260,,
GRC,https://data.humdata.org/dataset/cod-ab-grc,cod-standard,OCHA Field Information Services Section (FISS),"Greece administrative level 0-2 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2010

NOTE:  This dataset was derived in January 2025 from a version now named 'Greece- Subnational Administrative Boundaries - RIMWGE' developed but since neglected by the Regional IM Working Group - Europe.  This dataset was modified for compatibility by OCHA FIS.  LIVE GEOSERVICES WILL BE UPDATED SHORTLY.

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB does not require any update.

Sourced from EuroGeoGraphics

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is 'Decentralized Administration or Monastic Community'.

Administrative level 2 contains 14 feature(s).  The normal administrative level 2 feature type is 'Region'.

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 17, 2025.",8,14,,
GRD,https://data.humdata.org/dataset/cod-ab-grd,cod-enhanced,OCHA Field Information Services Section (FISS),"Grenada administrative level 0-1 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in July 2024.  The COD-AB does not require any update.

Sourced from Caribbean Disaster Emergency Management Agency  (CDEMA)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Grenada [COD-PS](https://data.humdata.org/dataset/cod-ps-grd).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"Parish"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",8,,,
GLP,https://data.humdata.org/dataset/cod-ab-glp,cod-standard,OCHA Field Information Services Section (FISS),"Guadeloupe administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Guadeloupe is an overseas department and as such as administrative level 1 unit of France.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from www.gadm.org

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Guadeloupe [COD-PS](https://data.humdata.org/dataset/cod-ps-glp).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 2 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 32 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",2,32,,
GTM,https://data.humdata.org/dataset/cod-ab-gtm,cod-enhanced,OCHA Field Information Services Section (FISS),"Guatemala administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveats about uninhabited features.
This COD-AB has NOT been reviewed for accuracy and necessary changes in the last 12 months.

Sourced from Coordinadora Nacional Para La Reducción De Desastres

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Guatemala [COD-PS](https://data.humdata.org/dataset/cod-ps-gtm).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 22 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 342 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",22,342,,
GIN,https://data.humdata.org/dataset/cod-ab-gin,cod-enhanced,OCHA West and Central Africa (ROWCA),"Guinea administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from World Food Programme

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Guinea [COD-PS](https://data.humdata.org/dataset/cod-ps-gin).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-gin).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 8 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 34 feature(s).  The normal administrative level 2 feature type is """"Prefecture"""".

Administrative level 3 contains 340 feature(s).  The normal administrative level 3 feature type is """"Sub-prefecture"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",8,34,340,
GNB,https://data.humdata.org/dataset/cod-ab-gnb,cod-enhanced,OCHA Field Information Services Section (FISS),"Guinea-Bissau administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Second Administrative Level Boundaries (SALB)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

There is no suitable population statistics dataset (COD-PS) for linkage to this COD-AB..

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-gnb).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 9 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 39 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Africa Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",9,39,,
GUY,https://data.humdata.org/dataset/cod-ab-guy,cod-standard,OCHA Field Information Services Section (FISS),"Guyana administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  Administrative level 2 cannot be reconciled between the COD-AB and COD-PS.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from DEVInfo LAC project

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Guyana [COD-PS](https://data.humdata.org/dataset/cod-ps-guy).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"Region"""".

Administrative level 2 contains 27 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  South America Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",10,27,,
HTI,https://data.humdata.org/dataset/cod-ab-hti,cod-enhanced,OCHA Haiti,"Haiti administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  1987

This COD-AB was most recently reviewed for accuracy and necessary changes in January 2025.  The COD-AB requires improvements.

Sourced from Centre National de l'Information Géo-Spatiale (CNIGS)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Haiti [COD-PS](https://data.humdata.org/dataset/cod-ps-hti).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-hti).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 10 feature(s).  The normal administrative level 1 feature type is """"Departement"""".

Administrative level 2 contains 140 feature(s).  The normal administrative level 2 feature type is """"Commune"""".

Administrative level 3 contains 570 feature(s).  The normal administrative level 3 feature type is """"section communale / Communal Section"""".
These administrative boundaries became out of date in:  2024

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",10,140,570,
HND,https://data.humdata.org/dataset/cod-ab-hnd,cod-enhanced,OCHA Latin America and the Caribbean (ROLAC),"Honduras administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in November 2024.  The COD-AB does not require any update.

Sourced from Sistema Nacional de Información Territorial (SINIT), Secretaria Técnica de Planificación y Cooperación Externa (SEPLAN), 2010

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Honduras [COD-PS](https://data.humdata.org/dataset/cod-ps-hnd).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 298 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",18,298,,
HUN,https://data.humdata.org/dataset/cod-ab-hun,cod-enhanced,OCHA Field Information Services Section (FISS),"Hungary administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from OSM

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Hungary [COD-PS](https://data.humdata.org/dataset/cod-ps-hun).

An edge-matched (COD-EM) version of this COD-AB is available on [HDX here](https://data.humdata.org/dataset/cod-em-hun).  

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 20 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 197 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Recommended cartographic projection:  Europe Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",20,197,,
IDN,https://data.humdata.org/dataset/cod-ab-idn,cod-enhanced,OCHA Regional Office for Asia and the Pacific (ROAP),"Indonesia administrative level 0-3 boundaries (COD-AB) dataset.

These administrative boundaries were established in:  2020

NOTE:  COD-AB includes 17 uninhabited features that are excluded from COD-PS.  See COD-PS caveats for further details.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB does not require any update.

Sourced from Badan Pusat Statistik (BPS - Statistics Indonesia)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Indonesia [COD-PS](https://data.humdata.org/dataset/cod-ps-idn).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 34 feature(s).  The normal administrative level 1 feature type is """"province (provinsi)"""".

Administrative level 2 contains 522 feature(s).  The normal administrative level 2 feature type is """"city, district, regency (kota, kabupaten)"""".

Administrative level 3 contains 7,069 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",34,522,7069,
IRN,https://data.humdata.org/dataset/cod-ab-irn,cod-enhanced,OCHA Middle East and North Africa (ROMENA),"Iran (Islamic Republic of) administrative level 0-2 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  COD-PS incluces alternate UNHCR P-codes.

This COD-AB was most recently reviewed for accuracy and necessary changes in October 2024.  The COD-AB requires improvements.

Sourced from UNHCR

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Iran (Islamic Republic of) [COD-PS](https://data.humdata.org/dataset/cod-ps-irn).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 31 feature(s).  The normal administrative level 1 feature type is """"provincen (ostān)"""".

Administrative level 2 contains 429 feature(s).  The normal administrative level 2 feature type is """"district (baxš)"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",31,429,,
IRQ,https://data.humdata.org/dataset/cod-ab-irq,cod-enhanced,OCHA Iraq (inactive),"Iraq administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

This COD-AB was most recently reviewed for accuracy and necessary changes in December 2024.  The COD-AB does not require any update.

Sourced from Iraq Central Statistics Office

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Iraq [COD-PS](https://data.humdata.org/dataset/cod-ps-irq).

No edge-matched (COD-EM) version of this COD-AB has yet been prepared.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 18 feature(s).  The normal administrative level 1 feature type is """"Governorate"""".

Administrative level 2 contains 101 feature(s).  The normal administrative level 2 feature type is """"District"""".

Administrative level 3 contains 294 feature(s).  The normal administrative level 3 feature type is """"Sub-district"""".

Recommended cartographic projection:  Asia South Albers Equal Area Conic

This metadata was last updated on January 9, 2025.",18,101,294,
JAM,https://data.humdata.org/dataset/cod-ab-jam,cod-enhanced,OCHA Field Information Services Section (FISS),"Jamaica administrative level 0-3 boundaries (COD-AB) dataset.

The date that these administrative boundaries were established is unknown.

NOTE:  See COD-PS caveat about minor data 

This COD-AB was most recently reviewed for accuracy and necessary changes in July 2024.  The COD-AB does not require any update.

Sourced from Jamaica Social Development Commission (sdc.gov.jm)

Vetting by Information Technology Outreach Services (ITOS) with funding from USAID.

This COD-AB is suitable for database or GIS linkage to the Jamaica [COD-PS](https://data.humdata.org/dataset/cod-ps-jam).

As this is an island country, no edge-matched (COD-EM) version of this COD-AB is required.

Please see the [COD Portal](https://cod.unocha.org/).

Administrative level 1 contains 14 feature(s).  The normal administrative level 1 feature type is """"currently not known"""".

Administrative level 2 contains 131 feature(s).  The normal administrative level 2 feature type is """"currently not known"""".

Administrative level 3 contains 775 feature(s).  The normal administrative level 3 feature type is """"currently not known"""".

Recommended cartographic projection:  North America Albers Equal Area Conic

This metadata was last updated on January 13, 2025.",14,131,775,
